id,A,Z,nBorF,aBorF,E,AMU,BE,BEN,SUS,LHL,RDM,DEMeV,pcaNCrust,ppmNCrust,ppmNSolar,SP,MD,EQ,RCPT,Inova_MHz,MagGR
50,48,20,b,b,Ca,47.95252290400,415.99015185604,8.66646149700,UPN,19.3619,2 B-,4.2740,0.1800,74.7,null,null,null,null,null,null,null
51,45,21,f,b,Sc,44.95590750300,387.84182277129,8.61870717270,SPN,50.0000,null,0.0000,100.0000,22,null,7/2-,4.7540000000,-0.2200000000,1710.0000,97.167,6.50880000
52,46,22,b,b,Ti,45.95262685600,398.18648041382,8.65622783508,SPN,50.0000,null,0.0000,7.9300,444.08,null,null,null,null,null,null,null
53,47,22,f,f,Ti,46.95175775200,407.06713282673,8.66100282610,SPN,50.0000,null,0.0000,7.2800,407.68,null,5/2-,-0.7881400000,0.3020000000,null,null,-1.51054000
54,48,22,b,b,Ti,47.94794093200,418.69356599056,8.72278262480,SPN,50.0000,null,0.0000,73.9400,4140.64,null,null,null,null,null,null,null
55,49,22,f,f,Ti,48.94786462700,426.83573062732,8.71093327811,SPN,50.0000,null,0.0000,5.5100,308.56,null,7/2-,-1.1037000000,0.2470000000,null,null,-1.51095000
56,50,22,b,b,Ti,49.94478583900,437.77469116518,8.75549382330,SPN,50.0000,null,0.0000,5.3400,299.04,null,null,null,null,null,null,null
57,50,23,b,f,V,49.94715584500,434.78471059568,8.69569421191,UPN,17.1461,B+ or B-,2.2050,0.2400,0.288,null,6+,3.3442000000,0.2100000000,null,null,2.67065000
58,51,23,f,b,V,50.94395686700,445.83562743748,8.74187504779,SPN,50.0000,null,0.0000,99.7600,119.712,null,7/2-,5.1464000000,-0.0430000000,2160.0000,101.212,7.04551390
59,50,24,b,b,Cr,49.94604144300,435.04043633398,8.70080872668,SPN,50.0000,null,0.0000,4.3100,4.3962,null,null,null,null,null,null,null
60,52,24,b,b,Cr,51.94050499200,456.33978299176,8.77576505753,SPN,50.0000,null,0.0000,83.7600,85.4352,null,null,null,null,null,null,null
61,53,24,f,f,Cr,52.94064696100,464.27862663436,8.75997408744,SPN,50.0000,null,0.0000,9.5500,9.741,null,3/2-,-0.4743100000,-0.1500000000,null,null,-1.51518000
62,54,24,b,b,Cr,53.93887801200,473.99747956583,8.77773110307,SPN,50.0000,null,0.0000,2.3800,2.4276,null,null,null,null,null,null,null
63,55,25,f,b,Mn,54.93804317200,482.06388184689,8.76479785176,SPN,50.0000,null,0.0000,100.0000,950,null,5/2-,3.4669000000,0.3300000000,994.0000,98.980,6.64525453
64,54,26,b,b,Fe,53.93960830600,471.75254802301,8.73615829672,SPN,50.0000,null,0.0000,5.8200,3276.66,72,null,null,null,null,null,null
65,56,26,b,b,Fe,55.93493561700,492.24730527224,8.79013045129,SPN,50.0000,null,0.0000,91.6600,51604.58,1169,null,null,null,null,null,null
66,57,26,f,f,Fe,56.93539213400,499.89314923521,8.77005524974,SPN,50.0000,null,0.0000,2.1900,1232.97,28,1/2-,0.0906400000,null,null,null,0.86806270
67,58,26,b,b,Fe,57.93327373800,509.93751006707,8.79202603564,SPN,50.0000,null,0.0000,0.3300,185.79,null,null,null,null,null,null,null
68,59,27,f,b,Co,58.93319365600,517.30085954792,8.76781117878,SPN,50.0000,null,0.0000,100.0000,25,null,7/2-,4.6150000000,0.4200000000,1570.0000,94.908,6.33200000
69,60,27,b,f,Co,59.93381566700,524.79254678764,8.74654244646,SYN,0.7219,"G, B-",1.3325,0.0000,0,null,5+,3.7990000000,0.4600000000,null,null,3.63900000
70,58,28,b,b,Ni,57.93534178000,506.44647384250,8.73183575591,SPN,50.0000,null,0.0000,67.8800,57.0192,49,null,null,null,null,null,null
71,60,28,b,b,Ni,59.93078525600,526.83302405250,8.78055040087,SPN,50.0000,null,0.0000,26.2300,22.0332,null,null,null,null,null,null,null
72,61,28,f,f,Ni,60.93105494500,534.65289723880,8.76480159408,SPN,50.0000,null,0.0000,1.1900,0.9996,null,3/2-,-0.7496500000,0.1620000000,null,null,-2.39477000
73,62,28,b,b,Ni,61.92834487100,545.24840277495,8.79432907702,SPN,50.0000,null,0.0000,3.6600,3.0744,null,null,null,null,null,null,null
74,64,28,b,b,Ni,63.92796634100,561.74317524830,8.77723711325,SPN,50.0000,null,0.0000,1.0800,0.9072,null,null,null,null,null,null,null
75,63,29,f,b,Cu,62.92959723600,551.37058542554,8.75191405437,SPN,50.0000,null,0.0000,69.0900,41.454,null,3/2-,2.2259000000,-0.2200000000,365.0000,106.112,7.11179100
76,65,29,f,b,Cu,64.92778948700,569.19666729878,8.75687180460,SPN,50.0000,null,0.0000,30.9100,18.546,null,3/2-,2.3844000000,-0.2040000000,201.0000,113.669,7.60430000
77,64,30,b,b,Zn,63.92914177200,559.08360111230,8.73568126738,SPN,50.0000,null,0.0000,48.8900,34.223,null,null,null,null,null,null,null
78,66,30,b,b,Zn,65.92603370400,578.12092276587,8.75940792070,SPN,50.0000,null,0.0000,27.8100,19.467,null,null,null,null,null,null,null
79,67,30,f,f,Zn,66.92712748200,585.17316171832,8.73392778684,SPN,50.0000,null,0.0000,4.1100,2.877,null,5/2-,0.8748500000,0.1500000000,null,null,1.67668850
80,68,30,b,b,Zn,67.92484429100,595.37102815890,8.75545629645,SPN,50.0000,null,0.0000,18.5700,12.999,null,null,null,null,null,null,null
81,70,30,b,b,Zn,69.92531918100,611.07084473809,8.72958349626,SPN,50.0000,null,0.0000,0.6200,0.434,null,null,null,null,null,null,null
82,69,31,f,b,Ga,68.92557353100,601.98049878272,8.72435505482,SPN,50.0000,null,0.0000,60.4000,11.476,null,3/2-,2.0150200000,0.1710000000,237.0000,96.006,6.43886000
83,71,31,f,b,Ga,70.92470253600,618.93399961304,8.71738027624,SPN,50.0000,null,0.0000,39.6000,7.524,null,3/2-,2.5603300000,0.1070000000,319.0000,121.987,8.18117000
84,70,32,b,b,Ge,69.92424870600,610.50331931480,8.72147599021,SPN,50.0000,null,0.0000,20.5200,0.3078,null,null,null,null,null,null,null
85,72,32,b,b,Ge,71.92207582600,628.66951864558,8.73152109230,SPN,50.0000,null,0.0000,27.4300,0.41145,null,null,null,null,null,null,null
