id,E,A,nBorF,Z,aBorF,E1,A1,nBorF1,Z1,aBorF1,E2,A2,nBorF2,Z2,aBorF2,MeV
245,Sn,112,b,50,b,Ca,48,b,20,b,Zn,64,b,30,b,21.8268
246,Sn,112,b,50,b,Ca,46,b,20,b,Zn,66,b,30,b,23.4764
247,Sn,114,b,50,b,Ca,48,b,20,b,Zn,66,b,30,b,25.6617
248,Sn,115,f,50,f,Ca,48,b,20,b,Zn,67,f,30,f,22.3726
249,Sn,112,b,50,b,Ca,44,b,20,b,Zn,68,b,30,b,22.9008
250,Sn,114,b,50,b,Ca,46,b,20,b,Zn,68,b,30,b,25.5285
251,Sn,116,b,50,b,Ca,48,b,20,b,Zn,68,b,30,b,23.1774
252,Sn,112,b,50,b,Ca,42,b,20,b,Zn,70,b,30,b,19.5278
253,Sn,114,b,50,b,Ca,44,b,20,b,Zn,70,b,30,b,23.4010
254,Sn,116,b,50,b,Ca,46,b,20,b,Zn,70,b,30,b,21.4924
255,Sn,118,b,50,b,Ca,48,b,20,b,Zn,70,b,30,b,22.4294
256,Sn,112,b,50,b,Ti,50,b,22,b,Ni,62,b,28,b,29.6262
257,Sn,112,b,50,b,Ti,48,b,22,b,Ni,64,b,28,b,27.0441
258,Sn,114,b,50,b,Ti,50,b,22,b,Ni,64,b,28,b,30.9359
259,Sn,112,b,50,b,Cr,54,b,24,b,Fe,58,b,26,b,30.5428
260,Te,120,b,52,b,C,12,b,6,b,Pd,108,b,46,b,0.5496
261,Te,120,b,52,b,O,18,b,8,b,Ru,102,b,44,b,1.5183
262,Te,120,b,52,b,O,16,b,8,b,Ru,104,b,44,b,3.7865
263,Te,120,b,52,b,Ne,22,b,10,b,Mo,98,b,42,b,7.0933
264,Te,120,b,52,b,Ne,20,b,10,b,Mo,100,b,42,b,4.1899
265,Te,122,b,52,b,Ne,22,b,10,b,Mo,100,b,42,b,3.7679
266,Te,120,b,52,b,Mg,26,b,12,b,Zr,94,b,40,b,14.6980
267,Te,120,b,52,b,Mg,24,b,12,b,Zr,96,b,40,b,10.4933
268,Te,122,b,52,b,Mg,26,b,12,b,Zr,96,b,40,b,11.3726
269,Te,120,b,52,b,Si,30,b,14,b,Sr,90,b,38,b,21.8147
270,Te,120,b,52,b,S,34,b,16,b,Kr,86,b,36,b,24.2449
271,Te,120,b,52,b,Ar,40,b,18,b,Se,80,b,34,b,23.8593
272,Te,120,b,52,b,Ca,48,b,20,b,Ge,72,b,32,b,28.0054
273,Te,120,b,52,b,Ca,46,b,20,b,Ge,74,b,32,b,27.6384
274,Te,122,b,52,b,Ca,48,b,20,b,Ge,74,b,32,b,27.4670
275,Te,120,b,52,b,Ca,44,b,20,b,Ge,76,b,32,b,25.7651
276,Te,122,b,52,b,Ca,46,b,20,b,Ge,76,b,32,b,26.0362
277,Te,124,b,52,b,Ca,48,b,20,b,Ge,76,b,32,b,27.0478
278,Te,120,b,52,b,Ti,50,b,22,b,Zn,70,b,30,b,32.0173
279,Xe,124,b,54,b,C,12,b,6,b,Cd,112,b,48,b,3.0553
280,Xe,126,b,54,b,C,12,b,6,b,Cd,114,b,48,b,0.5580
281,Xe,124,b,54,b,N,15,f,7,b,Ag,109,f,47,b,1.2221
282,Xe,124,b,54,b,O,18,b,8,b,Pd,106,b,46,b,3.5024
283,Xe,124,b,54,b,O,16,b,8,b,Pd,108,b,46,b,6.7859
284,Xe,126,b,54,b,O,18,b,8,b,Pd,108,b,46,b,1.0144
285,Xe,126,b,54,b,O,16,b,8,b,Pd,110,b,46,b,4.4283
286,Xe,124,b,54,b,Ne,22,b,10,b,Ru,102,b,44,b,10.2604
287,Xe,124,b,54,b,Ne,20,b,10,b,Ru,104,b,44,b,7.5898
288,Xe,126,b,54,b,Ne,22,b,10,b,Ru,104,b,44,b,6.7571
289,Xe,124,b,54,b,Mg,26,b,12,b,Mo,98,b,42,b,16.7846
290,Xe,124,b,54,b,Mg,24,b,12,b,Mo,100,b,42,b,12.5798
291,Xe,126,b,54,b,Mg,26,b,12,b,Mo,100,b,42,b,13.0484
292,Xe,124,b,54,b,Si,30,b,14,b,Zr,94,b,40,b,24.4228
293,Xe,124,b,54,b,Si,28,b,14,b,Zr,96,b,40,b,19.5549
294,Xe,126,b,54,b,Si,30,b,14,b,Zr,96,b,40,b,20.6866
295,Xe,124,b,54,b,S,34,b,16,b,Sr,90,b,38,b,28.8065
296,Xe,124,b,54,b,Cl,37,f,17,b,Rb,87,f,37,b,28.9173
297,Xe,124,b,54,b,Ar,40,b,18,b,Kr,84,b,36,b,30.0239
298,Xe,124,b,54,b,Ar,38,b,18,b,Kr,86,b,36,b,30.5325
299,Xe,126,b,54,b,Ar,40,b,18,b,Kr,86,b,36,b,29.0328
300,Xe,124,b,54,b,Ca,48,b,20,b,Se,76,b,34,b,32.1626
301,Xe,124,b,54,b,Ca,46,b,20,b,Se,78,b,34,b,32.6796
302,Xe,126,b,54,b,Ca,48,b,20,b,Se,78,b,34,b,32.0974
303,Xe,124,b,54,b,Ca,44,b,20,b,Se,80,b,34,b,31.7807
304,Xe,126,b,54,b,Ca,46,b,20,b,Se,80,b,34,b,31.6410
305,Xe,128,b,54,b,Ca,48,b,20,b,Se,80,b,34,b,32.2884
306,Xe,124,b,54,b,Ti,50,b,22,b,Ge,74,b,32,b,37.4274
307,Xe,124,b,54,b,Ti,48,b,22,b,Ge,76,b,32,b,34.2902
308,Xe,126,b,54,b,Ti,50,b,22,b,Ge,76,b,32,b,35.4145
309,Xe,124,b,54,b,Cr,54,b,24,b,Zn,70,b,30,b,39.0231
310,Ba,130,b,56,b,C,12,b,6,b,Sn,118,b,50,b,4.1079
311,Ba,132,b,56,b,C,12,b,6,b,Sn,120,b,50,b,2.7852
312,Ba,134,b,56,b,C,12,b,6,b,Sn,122,b,50,b,0.8383
313,Ba,130,b,56,b,N,15,f,7,b,In,115,f,49,b,1.8835
314,Ba,130,b,56,b,O,18,b,8,b,Cd,112,b,48,b,3.9123
315,Ba,130,b,56,b,O,17,f,8,f,Cd,113,f,48,f,2.2877
316,Ba,130,b,56,b,O,16,b,8,b,Cd,114,b,48,b,7.1865
317,Ba,132,b,56,b,O,18,b,8,b,Cd,114,b,48,b,2.2263
318,Ba,132,b,56,b,O,16,b,8,b,Cd,116,b,48,b,4.8391
319,Ba,134,b,56,b,O,18,b,8,b,Cd,116,b,48,b,0.1304
320,Ba,130,b,56,b,Ne,22,b,10,b,Pd,108,b,46,b,10.1486
321,Ba,130,b,56,b,Ne,20,b,10,b,Pd,110,b,46,b,8.6238
322,Ba,132,b,56,b,Ne,22,b,10,b,Pd,110,b,46,b,8.6023
323,Ba,130,b,56,b,Mg,26,b,12,b,Ru,104,b,44,b,16.8405
324,Ba,130,b,56,b,Si,30,b,14,b,Mo,100,b,42,b,23.1653
